iter	Passed	Remaining
0	7	23066
1	14	21054
2	20	20326
3	26	19948
4	33	19864
5	39	19864
6	46	19706
7	52	19573
8	58	19481
9	64	19422
10	71	19457
11	77	19374
12	83	19280
13	90	19215
14	96	19192
15	103	19230
16	109	19191
17	115	19182
18	121	19127
19	128	19089
20	135	19161
21	141	19136
22	147	19106
23	153	19073
24	160	19053
25	166	19082
26	173	19049
27	179	19005
28	185	18963
29	191	18915
30	197	18919
31	203	18876
32	209	18839
33	215	18806
34	221	18775
35	228	18773
36	234	18740
37	239	18706
38	246	18738
39	253	18772
40	259	18762
41	265	18727
42	271	18701
43	278	18680
44	284	18656
45	290	18651
46	296	18628
47	302	18608
48	308	18582
49	314	18562
50	320	18559
51	326	18537
52	332	18511
53	339	18494
54	345	18480
55	351	18470
56	357	18449
57	363	18432
58	369	18411
59	375	18396
60	381	18390
61	387	18370
62	393	18353
63	399	18334
64	405	18320
65	411	18314
66	418	18307
67	424	18307
68	430	18301
69	436	18288
70	443	18287
71	449	18271
72	455	18257
73	461	18240
74	467	18228
75	473	18226
76	479	18220
77	486	18211
78	492	18200
79	498	18187
80	504	18190
81	510	18179
82	516	18169
83	523	18158
84	529	18143
85	535	18136
86	541	18129
87	547	18117
88	553	18103
89	559	18093
90	565	18090
91	571	18079
92	577	18063
93	583	18052
94	589	18041
95	596	18034
96	602	18023
97	608	18012
98	614	17996
99	619	17979
100	626	17980
101	632	17982
102	639	17976
103	645	17973
104	651	17966
105	658	17965
106	664	17969
107	671	17974
108	677	17976
109	683	17965
110	689	17957
111	695	17939
112	701	17925
113	707	17909
114	713	17892
115	719	17883
116	724	17864
117	730	17851
118	736	17837
119	742	17826
120	748	17820
121	754	17804
122	760	17791
123	766	17777
124	772	17767
125	778	17757
126	784	17746
127	790	17739
128	796	17730
129	802	17722
130	809	17728
131	815	17724
132	821	17719
133	828	17711
134	834	17702
135	840	17699
136	846	17689
137	852	17678
138	858	17673
139	864	17668
140	871	17665
141	877	17658
142	883	17645
143	889	17634
144	895	17624
145	901	17622
146	907	17615
147	913	17605
148	919	17600
149	926	17594
150	932	17594
151	938	17589
152	945	17585
153	951	17579
154	957	17570
155	963	17569
156	969	17563
157	975	17555
158	982	17550
159	988	17543
160	994	17541
161	1001	17537
162	1007	17529
163	1013	17521
164	1019	17515
165	1025	17515
166	1032	17508
167	1038	17501
168	1044	17495
169	1050	17489
170	1057	17491
171	1063	17486
172	1069	17479
173	1075	17474
174	1082	17466
175	1088	17464
176	1095	17464
177	1101	17470
178	1107	17459
179	1113	17450
180	1120	17445
181	1126	17438
182	1132	17429
183	1138	17421
184	1144	17411
185	1150	17406
186	1156	17396
187	1162	17385
188	1168	17374
189	1174	17365
190	1180	17359
191	1186	17348
192	1192	17337
193	1197	17327
194	1203	17318
195	1210	17312
196	1215	17301
197	1221	17292
198	1227	17283
199	1233	17273
200	1240	17271
201	1246	17260
202	1252	17252
203	1258	17243
204	1264	17234
205	1270	17229
206	1276	17220
207	1282	17213
208	1288	17203
209	1294	17194
210	1300	17191
211	1306	17183
212	1312	17174
213	1318	17165
214	1324	17157
215	1330	17151
216	1336	17143
217	1342	17134
218	1348	17123
219	1354	17115
220	1360	17111
221	1366	17103
222	1372	17092
223	1378	17083
224	1384	17076
225	1390	17070
226	1396	17061
227	1402	17051
